schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.44188456146766625,0.7507254200688306,11125,14819,0.5998857503645465,478860,798252,0.04375660389085711,29568,675738,0.06426029729964297,21472,334141,0.009269803950381445,3028,326652,0.9936394354999006,14997,15093,0.7705558868349566,11630,15093,0.7705558868349566,11630,15093,0.03920642418516769,581,14819,0.6877360365732459,10380,15093
2,single,17958,0.47377027903958463,0.5281954887218046,3091,5852,0.6527845469827029,459403,703759,0.014796053925543552,8576,579614,0.029953861097620205,7401,247080,0.005922257260566604,1863,314576,0.9968259271633813,17901,17958,0.8685265619779485,15597,17958,0.8685265619779485,15597,17958,0.07758031442241968,454,5852,0.436407172290901,7837,17958
2,type,15001,0.24387336071002783,0.25870646766169153,104,402,0.7831843945803102,251616,321273,-0.014221876452785078,-4497,316203,0.008606519244487175,555,64486,0.020668644271626714,5156,249460,0.9906006266248917,14860,15001,0.04639690687287514,696,15001,0.04639690687287514,696,15001,0.02736318407960199,11,402,0.015065662289180722,226,15001
2,distinct,34232,0.6509159536276304,0.9992234216044109,25734,25754,0.9565101317768585,1282660,1340979,0.060589028314954024,58965,973196,0.36438326231836554,33352,91530,0.00014278330686138692,121,847438,0.9997955129703202,34225,34232,0.9932227155877541,34000,34232,0.9932227155877541,34000,34232,0.0,0,25754,0.9210387941107735,31529,34232
2,valueType,14999,0.10522130930294195,0.007488883688275216,32,4273,0.8039011466640696,891491,1108956,3.4400939326701195e-05,38,1104621,0.001805739907790009,385,213209,0.00042773337426331676,379,886066,0.9963997599839989,14945,14999,0.019534635642376157,293,14999,0.019534635642376157,293,14999,0.0,0,4273,0.007600506700446696,114,14999
2,itemRequiresStatement,15001,0.1978930524069876,0.23337856173677068,172,737,0.6681990566310255,161920,242323,-0.005638689182410968,-1349,239240,0.004328727123701702,338,78083,0.011822089947089947,1859,157248,0.9950669955336311,14927,15001,0.017065528964735684,256,15001,0.017065528964735684,256,15001,0.22523744911804613,166,737,0.0055996266915538965,84,15001
2,inverse,15001,0.5609301086015057,0.6865671641791045,552,804,0.6216982909234627,168313,270731,0.003047467995921604,807,264810,0.0027142871090889563,278,102421,0.00015605069612180096,23,147388,0.9776681554563029,14666,15001,0.032731151256582894,491,15001,0.032731151256582894,491,15001,0.40422885572139305,325,804,0.027131524565028996,407,15001
2,valueRequiresStatement,15003,0.523851969231785,0.6513274336283186,368,565,0.6829171871465746,335130,490733,0.0012140899732492108,595,490079,0.0016384699902976874,255,155633,8.599957614494614e-05,28,325583,0.9974671732320203,14965,15003,0.005332266879957342,80,15003,0.005332266879957342,80,15003,0.6353982300884956,359,565,0.004399120175964807,66,15003
2,oneOf,1028,0.44082211197732113,0.6011673151750972,618,1028,0.6838372732270478,37317,54570,0.045583752162807946,2213,48548,0.11145460462089164,2055,18438,0.01581734406161887,460,29082,0.9873540856031129,1015,1028,0.6011673151750972,618,1028,0.6011673151750972,618,1028,0.0,0,1028,0.5904669260700389,607,1028
