schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.005712549377089031,0.34233079155138674,5073,14819,0.5068648625632638,345214,681077,0.01939593938676453,13107,675760,0.02415075819015954,8070,334151,0.00011020498126515319,36,326664,1.0,15093,15093,0.0002650235208374743,4,15093,0.0002650235208374743,4,15093,0.34233079155138674,5073,14819,0.0,0,15093
2,single,17958,0.5118449017676637,0.5459671907040328,3195,5852,0.658440107942366,474574,720755,0.011647406722404911,6751,579614,0.03254006799417193,8040,247080,0.014254107115609583,4484,314576,1.0,17958,17958,1.0,17958,17958,1.0,17958,17958,0.0,0,5852,0.4917028622341018,8830,17958
2,type,15001,0.17028710815176187,0.3333333333333333,134,402,0.7650414464218814,243007,317639,-0.02787115953258171,-8813,316205,0.018546661290822813,1196,64486,0.04065949924236958,10143,249462,1.0,15001,15001,0.0,0,15001,0.0,0,15001,0.3333333333333333,134,402,0.0,0,15001
2,distinct,34232,0.5609534619750284,1.0,25754,25754,0.9562563436834426,1283187,1341886,0.06019843855001757,58585,973198,0.36486397902327106,33396,91530,0.0006667138676484471,565,847440,1.0,34232,34232,1.0,34232,34232,1.0,34232,34232,0.0,0,25754,0.9222657162888526,31571,34232
2,valueType,14999,0.09954362060982869,0.0,0,4273,0.8031571619579908,887218,1104663,7.151774228445775e-05,79,1104621,0.0003705284486114564,79,213209,0.0,0,886066,1.0,14999,14999,0.0,0,14999,0.0,0,14999,0.0,0,4273,0.0,0,14999
2,itemRequiresStatement,15001,6.651147322913203e-05,0.412483039348711,304,737,0.6691730268173555,159749,238726,-0.0006576577331333831,-157,238726,0.0038036448394656967,297,78083,0.004836219327012645,758,156734,1.0,15001,15001,0.0,0,15001,0.0,0,15001,0.412483039348711,304,737,0.0,0,15001
2,inverse,15001,0.27819325931538896,1.0,804,804,0.6132283524036102,162389,264810,0.0030361391186133455,804,264810,0.0,0,102421,0.0,0,147388,1.0,15001,15001,0.0,0,15001,0.0,0,15001,1.0,804,804,0.0,0,15001
2,valueRequiresStatement,15003,0.00026377394572851066,0.2672566371681416,151,565,0.6814764029766387,333980,490083,0.0002020082476498687,99,490079,0.00034697011559245146,54,155633,0.0003255698239772961,106,325583,1.0,15003,15003,0.0,0,15003,0.0,0,15003,0.2672566371681416,151,565,0.0,0,15003
2,oneOf,1028,0.713952886357753,0.9970817120622568,1025,1028,0.6822863649695485,39546,57961,0.021648677597429347,1051,48548,0.0014101312506779478,26,18438,0.0,0,29082,2.0,2056,1028,0.9970817120622568,1025,1028,1.0,1028,1028,0.0,0,1028,0.9970817120622568,1025,1028
