schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.5628076572470374,0.6010527026115122,8907,14819,0.5683438672923609,421107,740937,0.04309134044023733,29116,675681,0.06569972254729715,21951,334111,0.005311902028319939,1735,326625,1.0,15093,15093,0.3735506526204201,5638,15093,0.3735506526204201,5638,15093,0.2586544301234901,3833,14819,0.34174783011992316,5158,15093
2,single,17958,0.438079933647815,0.508544087491456,2976,5852,0.6463726462414815,448443,693784,0.013101822937334157,7594,579614,0.026311316172899467,6501,247080,0.0059762982554295305,1880,314576,1.0,17958,17958,0.7719679251587036,13863,17958,0.7719679251587036,13863,17958,0.06442241968557758,377,5852,0.39670341908898543,7124,17958
2,type,15001,0.36259353264989946,0.2562189054726368,103,402,0.7818245431520804,252509,322974,-0.015856942594133786,-5011,316013,0.012049126942282046,777,64486,0.02363300838448269,5891,249270,1.0,15001,15001,0.043530431304579696,653,15001,0.043530431304579696,653,15001,0.10696517412935323,43,402,0.012999133391107259,195,15001
2,distinct,34232,0.5908910329171395,0.7088607594936709,18256,25754,0.9356226509646705,1120221,1197300,0.0413123358501268,40205,973196,0.24119960668633236,22077,91530,0.00015104349816741757,128,847438,1.0,34232,34232,0.6523136246786633,22330,34232,0.6523136246786633,22330,34232,0.0,0,25754,0.5917270390278102,20256,34232
2,valueType,14999,0.3156293405648522,0.03416803182775568,146,4273,0.8043967935583076,893495,1110764,0.00022723198847001352,251,1104598,0.002176268356401465,464,213209,0.00040517220947516093,359,886043,1.0,14999,14999,0.02253483565571038,338,14999,0.02253483565571038,338,14999,0.033699976597238473,144,4273,0.010667377825188345,160,14999
2,itemRequiresStatement,15001,0.47056867309610906,0.6173677069199457,455,737,0.6691117115039291,162463,242804,-0.005699947726084684,-1363,239125,0.006826069695068069,533,78083,0.014961847606804426,2351,157133,1.0,15001,15001,0.017132191187254182,257,15001,0.017132191187254182,257,15001,0.5658073270013568,417,737,0.006266248916738884,94,15001
2,inverse,15001,0.7275063420419728,0.6318407960199005,508,804,0.6220122167949784,169749,272903,0.0002681360016012629,71,264791,0.002606887259448746,267,102421,0.004777124089869647,704,147369,1.0,15001,15001,0.06279581361242584,942,15001,0.06279581361242584,942,15001,0.3072139303482587,247,804,0.029131391240583962,437,15001
2,valueRequiresStatement,15003,0.5866991987866398,0.9168141592920354,518,565,0.684646915394907,337229,492559,0.0017834878410614406,874,490051,0.003392596685792859,528,155633,0.0005283285466357451,172,325555,1.0,15003,15003,0.020262614143837898,304,15003,0.020262614143837898,304,15003,0.8955752212389381,506,565,0.004799040191961607,72,15003
2,oneOf,1028,0.2835978835978836,0.39105058365758755,402,1028,0.6597878242615085,35201,53352,0.027540889053681045,1337,48546,0.0721336370539104,1330,18438,0.013583218707015132,395,29080,1.0,1028,1028,0.39105058365758755,402,1028,0.39105058365758755,402,1028,0.0,0,1028,0.3735408560311284,384,1028
