A,A_over_R,B,B_over_R,E,F,F_and_A,F_and_A_over_F,F_and_B,F_and_B_minus_A,F_and_B_over_F,F_fully_applied,F_fully_applied_and_A,F_fully_applied_and_B,F_not_B,R,copy_only_gain,copy_only_percentage_points_on_R,copy_relative_gain_over_A,family,input_profile,population,pre_post_both_checkable,source_records,split,still_unexpressible,validator_profile,vocabulary_profile
25008,0.8335722142595247,25234,0.841105296490117,3619,3619,2737,0.7562862669245648,2905,168,0.8027079303675049,3609,2727,2895,714,30001,226,0.7533082230592314,0.009037108125399871,valueRequiresStatement,passive,parent_pool,17641,30001,test,4767,checked_out_bounded,existing_train_val_minocc100
28792,0.9597333333333333,28921,0.9640333333333333,8441,539,538,0.9981447124304267,538,0,0.9981447124304267,533,533,533,1,30000,129,0.43,0.004480411225340372,valueType,passive,parent_pool,10524,30000,test,1079,checked_out_bounded,existing_train_val_minocc100
132390,0.9398893913685511,132694,0.9420476085675543,138008,77322,77308,0.9998189389824371,77311,3,0.9998577377719149,68354,68353,68354,11,140857,304,0.21582171990032445,0.0022962459400256816,conflictWith,passive,parent_pool,139416,140857,train,8163,checked_out_bounded,existing_train_val_minocc100
310259,0.9711192352716551,310276,0.9711724457409714,319419,185308,182850,0.9867355969521013,182855,5,0.986762579057569,184433,181975,181980,2453,319486,17,0.005321046931633937,5.47929310672696e-05,distinct,passive,parent_pool,319454,319486,train,9210,checked_out_bounded,existing_train_val_minocc100
96056,0.9779180453041486,96255,0.9799440061084246,97918,10729,8683,0.8093018920682263,8877,194,0.8273837263491471,10096,8053,8247,1852,98225,199,0.20259608042758973,0.0020717081702340302,inverse,passive,parent_pool,98225,98225,train,1970,checked_out_bounded,existing_train_val_minocc100
76559,0.5468460939564718,79465,0.5676030885493675,12143,11969,9770,0.8162753780599883,10021,251,0.837246219400117,11966,9767,10018,1948,140001,2906,2.0756994592895763,0.03795765357436748,itemRequiresStatement,passive,parent_pool,36906,140001,train,60536,checked_out_bounded,existing_train_val_minocc100
9487,0.9886411004585244,9530,0.9931221342225928,9596,9596,9487,0.9886411004585244,9530,43,0.9931221342225928,9197,9089,9132,66,9596,43,0.4481033764068362,0.004532518182776431,oneOf,passive,parent_pool,9596,9596,train,66,checked_out_bounded,existing_train_val_minocc100
146175,0.872103429348734,147177,0.8780815216094313,153633,92445,91951,0.9946562821136892,92401,450,0.999524041321867,91506,91057,91506,44,167612,1002,0.5978092260697325,0.00685479733196511,single,passive,parent_pool,167612,167612,train,20435,checked_out_bounded,existing_train_val_minocc100
41119,0.9842732669475297,41187,0.9859009957870548,41745,41745,41094,0.9844053180021559,41160,66,0.9859863456701401,41704,41053,41119,585,41776,68,0.1627728839525086,0.0016537367153870474,symmetric,passive,parent_pool,41776,41776,train,589,checked_out_bounded,existing_train_val_minocc100
133378,0.9526931950486068,133908,0.9564788822936979,3116,1261,1258,0.9976209357652657,1259,1,0.9984139571768438,1206,1205,1206,2,140001,530,0.37856872450911067,0.0039736688209449835,type,passive,parent_pool,20394,140001,train,6093,checked_out_bounded,existing_train_val_minocc100
116415,0.8315357142857143,117524,0.8394571428571429,17025,17025,12661,0.7436710719530103,13542,881,0.7954185022026432,16964,12600,13481,3483,140000,1109,0.7921428571428571,0.00952626379762058,valueRequiresStatement,passive,parent_pool,81873,140000,train,22476,checked_out_bounded,existing_train_val_minocc100
134442,0.9602931407632803,134975,0.9641002564267398,39903,2757,2757,1.0,2757,0,1.0,2731,2731,2731,0,140001,533,0.38071156634595466,0.003964534892369944,valueType,passive,parent_pool,49622,140001,train,5026,checked_out_bounded,existing_train_val_minocc100
28383,0.9403326265571164,28454,0.942684866154254,29593,16728,16725,0.9998206599713056,16725,0,0.9998206599713056,14776,14776,14776,3,30184,71,0.23522395971375562,0.002501497375189374,conflictWith,passive,parent_pool,29894,30184,val,1730,checked_out_bounded,existing_train_val_minocc100
66474,0.9709761762171163,66476,0.9710053899300332,68451,39524,38976,0.9861350065782816,38977,1,0.9861603076611679,39356,38808,38809,547,68461,2,0.0029213712916843168,3.0086951289225862e-05,distinct,passive,parent_pool,68454,68461,val,1985,checked_out_bounded,existing_train_val_minocc100
20573,0.9789674042350702,20623,0.981346657149655,20963,2223,1792,0.8061178587494376,1842,50,0.8286099865047234,2106,1675,1725,381,21015,50,0.23792529145848204,0.00243036990229913,inverse,passive,parent_pool,21015,21015,val,392,checked_out_bounded,existing_train_val_minocc100
16482,0.5494,17109,0.5703,2531,2492,2021,0.8109951845906902,2076,55,0.8330658105939005,2491,2020,2075,416,30000,627,2.09,0.03804149981798326,itemRequiresStatement,passive,parent_pool,7789,30000,val,12891,checked_out_bounded,existing_train_val_minocc100
2028,0.9859017987360233,2042,0.9927078269324259,2057,2057,2028,0.9859017987360233,2042,14,0.9927078269324259,1970,1941,1955,15,2057,14,0.6806028196402528,0.006903353057199211,oneOf,passive,parent_pool,2057,2057,val,15,checked_out_bounded,existing_train_val_minocc100
31317,0.8719269426733859,31526,0.8777459141910516,32972,19983,19863,0.9939948956613122,19977,114,0.9996997447830656,19763,19650,19763,6,35917,209,0.581897151766573,0.0066736916051984545,single,passive,parent_pool,35917,35917,val,4391,checked_out_bounded,existing_train_val_minocc100
8853,0.9853088480801335,8876,0.9878686700055648,8982,8982,8851,0.9854152749944333,8874,23,0.9879759519038076,8967,8836,8859,108,8985,23,0.25598219254312743,0.0025979893821303514,symmetric,passive,parent_pool,8985,8985,val,109,checked_out_bounded,existing_train_val_minocc100
28662,0.9554,28742,0.9580666666666666,646,264,264,1.0,264,0,1.0,246,246,246,0,30000,80,0.26666666666666666,0.002791152048007815,type,passive,parent_pool,4469,30000,val,1258,checked_out_bounded,existing_train_val_minocc100
24991,0.8330333333333333,25208,0.8402666666666667,3627,3627,2754,0.7593052109181141,2912,158,0.8028673835125448,3615,2742,2900,715,30000,217,0.7233333333333334,0.00868312592533312,valueRequiresStatement,passive,parent_pool,17357,30000,val,4792,checked_out_bounded,existing_train_val_minocc100
28807,0.9602333333333334,28940,0.9646666666666667,8582,590,589,0.9983050847457627,590,1,1.0,581,580,581,0,30000,133,0.44333333333333336,0.0046169333842468845,valueType,passive,parent_pool,10691,30000,val,1060,checked_out_bounded,existing_train_val_minocc100
1709055,0.8944213766633138,1718831,0.8995375744324088,1189131,643000,625482,0.9727558320373251,628191,2709,0.9769688958009332,625732,608323,611026,14809,1910794,9776,0.5116197769094941,0.005720120183376193,overall,factorized,parent_pool,1378201,1910794,overall,191963,checked_out_bounded,existing_train_val_minocc100
256205,0.8938838880748029,257725,0.8991870769660177,178221,96373,93800,0.9733016508773205,94196,396,0.9774106855654592,93704,91166,91561,2177,286620,1520,0.5303188891214848,0.005932749165707149,overall,factorized,parent_pool,206699,286620,test,28895,checked_out_bounded,existing_train_val_minocc100
1196280,0.8943781751030798,1203084,0.8994650687261458,832506,450157,437819,0.9725917846440242,439715,1896,0.976803648504855,438157,425883,427775,10442,1337555,6804,0.5086893623065968,0.0056876316581402344,overall,factorized,parent_pool,964874,1337555,train,134471,checked_out_bounded,existing_train_val_minocc100
256570,0.8951604743579455,258022,0.9002264329999058,178404,96470,93863,0.9729760547320411,94280,417,0.9772986420648906,93871,91274,91690,2190,286619,1452,0.5065958641960233,0.005659274272128464,overall,factorized,parent_pool,206628,286619,val,28597,checked_out_bounded,existing_train_val_minocc100
189196,0.940221145483911,189646,0.9424574481302025,197201,110847,110823,0.9997834853446642,110827,4,0.9998195711205535,97934,97933,97934,20,201225,450,0.22363026462914648,0.0023784858030825176,conflictWith,factorized,parent_pool,199195,201225,overall,11579,checked_out_bounded,existing_train_val_minocc100
443199,0.9710566618975525,443220,0.971102673260168,456316,264436,260916,0.9866886505619508,260922,6,0.9867113403621293,263182,259662,259668,3514,456409,21,0.004601136261554877,4.738277839074547e-05,distinct,factorized,parent_pool,456363,456409,overall,13189,checked_out_bounded,existing_train_val_minocc100
137328,0.97847508710429,137616,0.9805271145501571,139924,15194,12324,0.8111096485454785,12607,283,0.8297354218770567,14322,11458,11741,2587,140349,288,0.20520274458670884,0.0020971688220901784,inverse,factorized,parent_pool,140349,140349,overall,2733,checked_out_bounded,existing_train_val_minocc100
109263,0.546315,113555,0.567775,17244,16994,13842,0.8145227727433212,14192,350,0.8351182770389549,16988,13836,14186,2802,200000,4292,2.146,0.03928136697692723,itemRequiresStatement,factorized,parent_pool,52510,200000,overall,86445,checked_out_bounded,existing_train_val_minocc100
13523,0.9864322707710264,13605,0.9924137427967029,13709,13709,13523,0.9864322707710264,13605,82,0.9924137427967029,13130,12947,13029,104,13709,82,0.5981472025676563,0.00606374325223693,oneOf,factorized,parent_pool,13709,13709,overall,104,checked_out_bounded,existing_train_val_minocc100
208748,0.8717957284732257,210171,0.8777386132990319,219473,132246,131508,0.9944194909486865,132178,670,0.9994858067540795,130880,130213,130880,68,239446,1423,0.5942884825806236,0.006816831778029011,single,factorized,parent_pool,239446,239446,overall,29275,checked_out_bounded,existing_train_val_minocc100
58739,0.9846945617917253,58843,0.9864380071078924,59611,59611,58707,0.9848350136719733,58808,101,0.9865293318347285,59545,58644,58745,803,59652,104,0.17434453161671026,0.001770544272119035,symmetric,factorized,parent_pool,59652,59652,overall,809,checked_out_bounded,existing_train_val_minocc100
190604,0.953010469895301,191357,0.9567754322456775,4456,1806,1803,0.9983388704318937,1804,1,0.9988925802879292,1718,1717,1718,2,200002,753,0.3764962350376496,0.003950599147971711,type,factorized,parent_pool,29269,200002,overall,8645,checked_out_bounded,existing_train_val_minocc100
166414,0.8320658396708016,167977,0.839880800595997,24271,24271,18152,0.7478884265172429,19363,1211,0.7977833628610276,24188,18069,19280,4908,200001,1563,0.7814960925195374,0.009392238633768793,valueRequiresStatement,factorized,parent_pool,116871,200001,overall,32024,checked_out_bounded,existing_train_val_minocc100
192041,0.960200198999005,192841,0.964200178999105,56926,3886,3884,0.9994853319608852,3885,1,0.9997426659804426,3845,3844,3845,1,200001,800,0.39999800000999997,0.004165777099681839,valueType,factorized,parent_pool,70837,200001,overall,7160,checked_out_bounded,existing_train_val_minocc100
28423,0.9416578319639544,28498,0.9441425921017758,29600,16797,16790,0.9995832589152824,16791,1,0.9996427933559564,14804,14804,14804,6,30184,75,0.24847601378213624,0.0026387080885198607,conflictWith,factorized,parent_pool,29885,30184,test,1686,checked_out_bounded,existing_train_val_minocc100
66466,0.9708451403698402,66468,0.9708743536560428,68446,39604,39090,0.9870215129784871,39090,0,0.9870215129784871,39393,38879,38879,514,68462,2,0.002921328620256493,3.0090572623597026e-05,distinct,factorized,parent_pool,68455,68462,test,1994,checked_out_bounded,existing_train_val_minocc100
20699,0.980577005068928,20738,0.9824245582452982,21043,2242,1849,0.8247100802854594,1888,39,0.8421052631578947,2120,1730,1769,354,21109,39,0.18475531763702685,0.0018841489927049616,inverse,factorized,parent_pool,21109,21109,test,371,checked_out_bounded,existing_train_val_minocc100
16222,0.5407513583786127,16886,0.5628854295143172,2570,2533,2051,0.8097118041847612,2095,44,0.8270825108566917,2531,2049,2093,438,29999,664,2.2134071135704523,0.04093206756256935,itemRequiresStatement,factorized,parent_pool,7815,29999,test,13113,checked_out_bounded,existing_train_val_minocc100
2008,0.9766536964980544,2033,0.9888132295719845,2056,2056,2008,0.9766536964980544,2033,25,0.9888132295719845,1963,1917,1942,23,2056,25,1.215953307392996,0.01245019920318725,oneOf,factorized,parent_pool,2056,2056,test,23,checked_out_bounded,existing_train_val_minocc100
31256,0.8702285825653591,31462,0.8759640281760727,32868,19818,19694,0.9937430618629529,19799,105,0.9990412756080331,19611,19506,19611,19,35917,206,0.573544561071359,0.006590734578960839,single,factorized,parent_pool,35917,35917,test,4455,checked_out_bounded,existing_train_val_minocc100
8767,0.9860533123383196,8780,0.9875154650770442,8884,8884,8762,0.9862674470959027,8774,12,0.9876181900045025,8874,8755,8767,110,8891,13,0.14621527387245528,0.0014828333523440173,symmetric,factorized,parent_pool,8891,8891,test,111,checked_out_bounded,existing_train_val_minocc100
28564,0.9521015966134462,28699,0.956601446618446,694,281,281,1.0,281,0,1.0,266,266,266,0,30001,135,0.44998500049998336,0.004726228819493068,type,factorized,parent_pool,4406,30001,test,1302,checked_out_bounded,existing_train_val_minocc100
25008,0.8335722142595247,25238,0.8412386253791541,3619,3619,2737,0.7562862669245648,2907,170,0.803260569218016,3609,2727,2897,712,30001,230,0.7666411119629346,0.009197056941778631,valueRequiresStatement,factorized,parent_pool,17641,30001,test,4763,checked_out_bounded,existing_train_val_minocc100
28792,0.9597333333333333,28923,0.9641,8441,539,538,0.9981447124304267,538,0,0.9981447124304267,533,533,533,1,30000,131,0.43666666666666665,0.00454987496526813,valueType,factorized,parent_pool,10524,30000,test,1077,checked_out_bounded,existing_train_val_minocc100
132390,0.9398893913685511,132694,0.9420476085675543,138008,77322,77308,0.9998189389824371,77311,3,0.9998577377719149,68354,68353,68354,11,140857,304,0.21582171990032445,0.0022962459400256816,conflictWith,factorized,parent_pool,139416,140857,train,8163,checked_out_bounded,existing_train_val_minocc100
310259,0.9711192352716551,310276,0.9711724457409714,319419,185308,182850,0.9867355969521013,182855,5,0.986762579057569,184433,181975,181980,2453,319486,17,0.005321046931633937,5.47929310672696e-05,distinct,factorized,parent_pool,319454,319486,train,9210,checked_out_bounded,existing_train_val_minocc100
96056,0.9779180453041486,96255,0.9799440061084246,97918,10729,8683,0.8093018920682263,8877,194,0.8273837263491471,10096,8053,8247,1852,98225,199,0.20259608042758973,0.0020717081702340302,inverse,factorized,parent_pool,98225,98225,train,1970,checked_out_bounded,existing_train_val_minocc100
76559,0.5468460939564718,79542,0.5681530846208241,12143,11969,9770,0.8162753780599883,10021,251,0.837246219400117,11966,9767,10018,1948,140001,2983,2.13069906643524,0.038963413837693806,itemRequiresStatement,factorized,parent_pool,36906,140001,train,60459,checked_out_bounded,existing_train_val_minocc100
9487,0.9886411004585244,9530,0.9931221342225928,9596,9596,9487,0.9886411004585244,9530,43,0.9931221342225928,9197,9089,9132,66,9596,43,0.4481033764068362,0.004532518182776431,oneOf,factorized,parent_pool,9596,9596,train,66,checked_out_bounded,existing_train_val_minocc100
146175,0.872103429348734,147180,0.8780994200892538,153633,92445,91951,0.9946562821136892,92402,451,0.9995348585645519,91506,91057,91506,43,167612,1005,0.5995990740519772,0.006875320677270395,single,factorized,parent_pool,167612,167612,train,20432,checked_out_bounded,existing_train_val_minocc100
41119,0.9842732669475297,41187,0.9859009957870548,41745,41745,41094,0.9844053180021559,41160,66,0.9859863456701401,41704,41053,41119,585,41776,68,0.1627728839525086,0.0016537367153870474,symmetric,factorized,parent_pool,41776,41776,train,589,checked_out_bounded,existing_train_val_minocc100
133378,0.9526931950486068,133915,0.9565288819365576,3116,1261,1258,0.9976209357652657,1259,1,0.9984139571768438,1206,1205,1206,2,140001,537,0.38356868879508005,0.004026151239334823,type,factorized,parent_pool,20394,140001,train,6086,checked_out_bounded,existing_train_val_minocc100
116415,0.8315357142857143,117528,0.8394857142857143,17025,17025,12661,0.7436710719530103,13543,882,0.7954772393538914,16964,12600,13482,3482,140000,1113,0.795,0.009560623630975389,valueRequiresStatement,factorized,parent_pool,81873,140000,train,22472,checked_out_bounded,existing_train_val_minocc100
134442,0.9602931407632803,134977,0.9641145420389854,39903,2757,2757,1.0,2757,0,1.0,2731,2731,2731,0,140001,535,0.38214012757051735,0.003979411195906041,valueType,factorized,parent_pool,49622,140001,train,5024,checked_out_bounded,existing_train_val_minocc100
28383,0.9403326265571164,28454,0.942684866154254,29593,16728,16725,0.9998206599713056,16725,0,0.9998206599713056,14776,14776,14776,3,30184,71,0.23522395971375562,0.002501497375189374,conflictWith,factorized,parent_pool,29894,30184,val,1730,checked_out_bounded,existing_train_val_minocc100
66474,0.9709761762171163,66476,0.9710053899300332,68451,39524,38976,0.9861350065782816,38977,1,0.9861603076611679,39356,38808,38809,547,68461,2,0.0029213712916843168,3.0086951289225862e-05,distinct,factorized,parent_pool,68454,68461,val,1985,checked_out_bounded,existing_train_val_minocc100
20573,0.9789674042350702,20623,0.981346657149655,20963,2223,1792,0.8061178587494376,1842,50,0.8286099865047234,2106,1675,1725,381,21015,50,0.23792529145848204,0.00243036990229913,inverse,factorized,parent_pool,21015,21015,val,392,checked_out_bounded,existing_train_val_minocc100
