A,A_over_R,B,B_over_R,R,copy_only_gain,copy_only_percentage_points_on_R,copy_relative_gain_over_A,family,input_profile,population,source_records,split,still_unexpressible,vocabulary_profile
10280,0.979420731707317,10307,0.9819931402439024,10496,27,0.2572408536585366,0.002626459143968872,inverse,passive,previously_discarded,10496,val,189,clean_parent_train_minocc100
8153,0.5434608718837488,8468,0.5644580722570324,15002,315,2.0997200373283564,0.03863608487673249,itemRequiresStatement,passive,previously_discarded,15002,val,6534,clean_parent_train_minocc100
1014,0.9863813229571985,1023,0.995136186770428,1028,9,0.8754863813229572,0.008875739644970414,oneOf,passive,previously_discarded,1028,val,5,clean_parent_train_minocc100
15603,0.8688122946711955,15705,0.8744918982125953,17959,102,0.5679603541399855,0.006537204383772351,single,passive,previously_discarded,17959,val,2254,clean_parent_train_minocc100
4434,0.9844582593250444,4444,0.9866785079928952,4504,10,0.22202486678507993,0.0022552999548940008,symmetric,passive,previously_discarded,4504,val,60,clean_parent_train_minocc100
14319,0.9546636442429496,14357,0.9571971464764317,14999,38,0.2533502233482232,0.0026538166073049796,type,passive,previously_discarded,14999,val,642,clean_parent_train_minocc100
12519,0.834544363709086,12644,0.8428771415238984,15001,125,0.8332777814812345,0.009984823068935219,valueRequiresStatement,passive,previously_discarded,15001,val,2357,clean_parent_train_minocc100
14400,0.96,14464,0.9642666666666667,15000,64,0.4266666666666667,0.0044444444444444444,valueType,passive,previously_discarded,15000,val,536,clean_parent_train_minocc100
855185,0.8951170674981604,859900,0.900052230034049,955389,4715,0.4935162535888523,0.00551342691932155,overall,factorized,previously_discarded,955389,overall,95489,clean_parent_train_minocc100
128276,0.895132027019483,129021,0.9003307653659354,143304,745,0.5198738346452297,0.005807789453989834,overall,factorized,previously_discarded,143304,test,14283,clean_parent_train_minocc100
598814,0.8953879923920715,602032,0.900199767934256,668776,3218,0.4811775542184528,0.005373955852735574,overall,factorized,previously_discarded,668776,train,66744,clean_parent_train_minocc100
128095,0.8938377910668556,128847,0.8990851935328555,143309,752,0.5247402466000042,0.0058706428822358405,overall,factorized,previously_discarded,143309,val,14462,clean_parent_train_minocc100
94672,0.9409519644578732,94903,0.9432478904316539,100613,231,0.22959259737807242,0.0024400033800912623,conflictWith,factorized,previously_discarded,100613,overall,5710,clean_parent_train_minocc100
221592,0.9710386895762946,221603,0.9710868926954747,228201,11,0.0048203119180021126,4.9640781255641e-05,distinct,factorized,previously_discarded,228201,overall,6598,clean_parent_train_minocc100
68495,0.9786677716179917,68625,0.980525232897068,69988,130,0.1857461279076413,0.0018979487553836046,inverse,factorized,previously_discarded,69988,overall,1363,clean_parent_train_minocc100
54900,0.5489945100548994,56959,0.5695843041569584,100001,2059,2.058979410205898,0.03750455373406193,itemRequiresStatement,factorized,previously_discarded,100001,overall,43042,clean_parent_train_minocc100
6782,0.9894951852932594,6806,0.9929967901955062,6854,24,0.3501604902246863,0.003538779121203185,oneOf,factorized,previously_discarded,6854,overall,48,clean_parent_train_minocc100
104448,0.8724138219055654,105161,0.8783692356522974,119723,713,0.595541374673204,0.006826363357843137,single,factorized,previously_discarded,119723,overall,14562,clean_parent_train_minocc100
29549,0.9846384538487171,29600,0.9863378873708764,30010,51,0.16994335221592802,0.0017259467325459407,symmetric,factorized,previously_discarded,30010,overall,410,clean_parent_train_minocc100
95313,0.9531395313953139,95659,0.95659956599566,99999,346,0.34600346003460036,0.0036301448910431946,type,factorized,previously_discarded,99999,overall,4340,clean_parent_train_minocc100
83396,0.8339683396833968,84166,0.8416684166841668,99999,770,0.7700077000770008,0.00923305674133052,valueRequiresStatement,factorized,previously_discarded,99999,overall,15833,clean_parent_train_minocc100
96038,0.960370396296037,96418,0.9641703582964171,100001,380,0.3799962000379996,0.0039567671130177635,valueType,factorized,previously_discarded,100001,overall,3583,clean_parent_train_minocc100
14244,0.9438738320853489,14286,0.9466569478497118,15091,42,0.2783115764362865,0.0029486099410278013,conflictWith,factorized,previously_discarded,15091,test,805,clean_parent_train_minocc100
33240,0.9710780017528484,33242,0.9711364300321356,34230,2,0.0058428279287175,6.016847172081829e-05,distinct,factorized,previously_discarded,34230,test,988,clean_parent_train_minocc100
10319,0.9805207145572026,10336,0.9821360699353858,10524,17,0.16153553781832003,0.0016474464579901153,inverse,factorized,previously_discarded,10524,test,188,clean_parent_train_minocc100
8162,0.5441696113074205,8489,0.5659710647376491,14999,327,2.1801453430228683,0.04006370987503063,itemRequiresStatement,factorized,previously_discarded,14999,test,6510,clean_parent_train_minocc100
1001,0.9737354085603113,1015,0.9873540856031129,1028,14,1.3618677042801557,0.013986013986013986,oneOf,factorized,previously_discarded,1028,test,13,clean_parent_train_minocc100
15660,0.8719861907678601,15765,0.8778328414722423,17959,105,0.5846650704382204,0.006704980842911878,single,factorized,previously_discarded,17959,test,2194,clean_parent_train_minocc100
4415,0.9865921787709497,4423,0.9883798882681564,4475,8,0.1787709497206704,0.001812004530011325,symmetric,factorized,previously_discarded,4475,test,52,clean_parent_train_minocc100
14296,0.9531302086805787,14356,0.9571304753650244,14999,60,0.40002666844456297,0.004196978175713486,type,factorized,previously_discarded,14999,test,643,clean_parent_train_minocc100
12537,0.8359114548606481,12641,0.8428457127617016,14998,104,0.6934257901053473,0.00829544548137513,valueRequiresStatement,factorized,previously_discarded,14998,test,2357,clean_parent_train_minocc100
14402,0.9600693287114193,14468,0.9644690353976402,15001,66,0.4399706686220919,0.004582696847660047,valueType,factorized,previously_discarded,15001,test,533,clean_parent_train_minocc100
66255,0.9407212835439444,66404,0.9428368592929149,70430,149,0.21155757489706092,0.002248886876462154,conflictWith,factorized,previously_discarded,70430,train,4026,clean_parent_train_minocc100
155152,0.971260086513963,155160,0.9713101669556725,159743,8,0.0050080441709495875,5.156233886769104e-05,distinct,factorized,previously_discarded,159743,train,4583,clean_parent_train_minocc100
