E,R,count,family,fixed_pre_violated_fraction,population,post,pre,row_fraction,split,validator_profile
17244,200000,0,itemRequiresStatement,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
17244,200000,2428,itemRequiresStatement,,parent_pool,satisfied,unknown,0.01214,overall,checked_out_bounded
17244,200000,0,itemRequiresStatement,,parent_pool,violated,unknown,0.0,overall,checked_out_bounded
17244,200000,145062,itemRequiresStatement,,parent_pool,unknown,unknown,0.72531,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,satisfied,satisfied,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,violated,satisfied,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
13709,13709,13709,oneOf,1.0,parent_pool,satisfied,violated,1.0,overall,checked_out_bounded
13709,13709,0,oneOf,0.0,parent_pool,violated,violated,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,satisfied,unknown,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,violated,unknown,0.0,overall,checked_out_bounded
13709,13709,0,oneOf,,parent_pool,unknown,unknown,0.0,overall,checked_out_bounded
219473,239446,19776,single,,parent_pool,satisfied,satisfied,0.08259064674289819,overall,checked_out_bounded
219473,239446,197,single,,parent_pool,violated,satisfied,0.0008227324741277783,overall,checked_out_bounded
219473,239446,0,single,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
219473,239446,132246,single,0.6025615907195874,parent_pool,satisfied,violated,0.5522998922512801,overall,checked_out_bounded
219473,239446,87227,single,0.39743840928041263,parent_pool,violated,violated,0.36428672853169397,overall,checked_out_bounded
219473,239446,0,single,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
219473,239446,0,single,,parent_pool,satisfied,unknown,0.0,overall,checked_out_bounded
219473,239446,0,single,,parent_pool,violated,unknown,0.0,overall,checked_out_bounded
219473,239446,0,single,,parent_pool,unknown,unknown,0.0,overall,checked_out_bounded
59611,59652,41,symmetric,,parent_pool,satisfied,satisfied,0.0006873197881043384,overall,checked_out_bounded
59611,59652,0,symmetric,,parent_pool,violated,satisfied,0.0,overall,checked_out_bounded
59611,59652,0,symmetric,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
59611,59652,59611,symmetric,1.0,parent_pool,satisfied,violated,0.9993126802118957,overall,checked_out_bounded
59611,59652,0,symmetric,0.0,parent_pool,violated,violated,0.0,overall,checked_out_bounded
59611,59652,0,symmetric,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
59611,59652,0,symmetric,,parent_pool,satisfied,unknown,0.0,overall,checked_out_bounded
59611,59652,0,symmetric,,parent_pool,violated,unknown,0.0,overall,checked_out_bounded
59611,59652,0,symmetric,,parent_pool,unknown,unknown,0.0,overall,checked_out_bounded
4456,200002,24813,type,,parent_pool,satisfied,satisfied,0.12406375936240638,overall,checked_out_bounded
4456,200002,0,type,,parent_pool,violated,satisfied,0.0,overall,checked_out_bounded
4456,200002,0,type,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
4456,200002,1806,type,0.40529622980251345,parent_pool,satisfied,violated,0.009029909700902991,overall,checked_out_bounded
4456,200002,2650,type,0.5947037701974865,parent_pool,violated,violated,0.013249867501324987,overall,checked_out_bounded
4456,200002,0,type,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
4456,200002,7697,type,,parent_pool,satisfied,unknown,0.03848461515384846,overall,checked_out_bounded
4456,200002,4849,type,,parent_pool,violated,unknown,0.024244757552424476,overall,checked_out_bounded
4456,200002,158187,type,,parent_pool,unknown,unknown,0.7909270907290927,overall,checked_out_bounded
24271,200001,92600,valueRequiresStatement,,parent_pool,satisfied,satisfied,0.46299768501157496,overall,checked_out_bounded
24271,200001,0,valueRequiresStatement,,parent_pool,violated,satisfied,0.0,overall,checked_out_bounded
