addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
1463,1463,365,267,12,2366,704.222647702407,170.0,2142.0,1287319,6976,1883.9234135667396,868.0,4658.0,3443812,valueRequiresStatement,factorized,13175,4880,1474.328227571116,433.0,4320.0,2695072,0,98,existing_sample,104,17.53172866520788,12.0,47.0,32048,1828,0,0,0,0,1828,1828,0.12184229820702526,88,test,F,81,7.9819474835886215,6.0,20.0,14591,5,checked_out_bounded,clean_parent_train_minocc100
259,259,12,6,21,2860,592.0553505535055,337.0,2767.0,160447,8850,2174.723247232472,1476.0,7618.0,589350,valueType,factorized,14728,5916,1355.1955719557195,819.0,5726.0,367258,0,6,existing_sample,221,37.944649446494466,24.0,131.0,10283,271,0,0,0,0,271,271,0.01806787119141276,0,test,F,89,12.250922509225092,8.0,33.0,3320,6,checked_out_bounded,clean_parent_train_minocc100
0,18070,20540,33875,359,3422,697.8429163429164,386.0,2465.0,26943715,17962,2673.2775446775445,1970.0,6678.0,103215246,conflictWith,factorized,31817,8000,1620.6982646982647,1009.0,5079.0,62575160,0,4735,existing_sample,579,38.15120435120435,23.0,105.0,1473018,38610,0,0,0,0,38610,38610,0.5482272423928323,0,train,F,557,17.18117068117068,9.0,57.0,663365,4526,checked_out_bounded,clean_parent_train_minocc100
0,0,92538,87222,309,2595,403.4095614774471,472.0,533.0,37330714,9850,1368.0589595625581,1484.0,1754.0,126597440,distinct,factorized,67205,5353,873.5203375910437,1010.0,1154.0,80833825,0,5316,existing_sample,364,26.515993429726166,27.0,39.0,2453737,92538,0,0,0,0,92538,92538,0.5792929893641662,4738,train,F,190,2.0724243013680868,1.0,10.0,191778,441,checked_out_bounded,clean_parent_train_minocc100
0,0,5394,3925,66,3100,354.0583982202447,220.0,1129.0,1909791,30972,1801.2172784575455,884.0,4920.0,9715766,inverse,factorized,43863,6981,840.2259918427883,478.5,2719.0,4532179,0,1469,existing_sample,1496,41.60381905821283,18.0,83.0,224411,5394,0,0,0,0,5394,5394,0.10950727815335891,1044,train,F,1477,26.833704115684093,6.0,64.0,144741,322,checked_out_bounded,clean_parent_train_minocc100
6012,6012,68,63,60,2391,375.98223684210524,120.0,2138.0,2285972,15134,1556.2407894736841,1010.0,4500.0,9461944,itemRequiresStatement,factorized,63921,4906,853.2726973684211,309.0,4306.0,5187898,0,5,existing_sample,535,25.44703947368421,15.0,72.0,154718,6080,0,0,0,0,6080,6080,0.08685590205854202,0,train,F,523,17.688980263157895,8.0,54.0,107549,0,checked_out_bounded,clean_parent_train_minocc100
0,0,4798,1258,59,3144,478.32388495206334,401.0,1289.0,2294998,12974,1977.854105877449,1730.0,4720.0,9489744,oneOf,factorized,0,6759,1148.8034597749063,972.0,3550.0,5511959,0,3540,existing_sample,513,30.500833680700293,25.0,73.0,146343,4798,0,0,0,0,4798,4798,1.0,3289,train,F,229,14.883076281784076,9.0,49.0,71409,217,checked_out_bounded,clean_parent_train_minocc100
0,25233,20928,45619,809,2971,489.83054959814564,276.0,2168.0,22611068,20126,1959.697276922077,1322.0,5188.0,90461586,single,factorized,37646,6297,1152.962219189359,702.0,4395.0,53221889,0,542,existing_sample,738,30.335521327527566,22.0,76.0,1400318,46161,0,0,0,0,46161,46161,0.5508012457193313,0,train,F,730,16.34916921210546,11.0,47.0,754694,434,checked_out_bounded,clean_parent_train_minocc100
19794,19794,939,556,30,2695,180.7742728982781,107.0,546.0,3747993,13926,1196.303863406164,880.0,3276.0,24802968,symmetric,factorized,12,5946,463.0972362899725,269.0,1437.0,9601395,0,383,existing_sample,553,33.446534510201126,30.0,76.0,693447,20733,0,0,0,0,20733,20733,0.9994215473608098,343,train,F,437,21.382674962619976,19.0,49.0,443327,18,checked_out_bounded,clean_parent_train_minocc100
344,344,278,248,62,2198,523.9131832797427,204.5,2181.0,325874,13760,1825.7620578778135,887.0,4730.0,1135624,type,factorized,69378,6163,1181.5369774919614,494.0,4413.0,734916,0,30,existing_sample,338,27.961414790996784,13.0,94.0,17392,622,0,0,0,0,622,622,0.008885714285714285,0,train,F,287,15.180064308681672,5.0,63.0,9442,27,checked_out_bounded,clean_parent_train_minocc100
