variant,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,-0.3311608933793486,-0.5483091787439613,-0.03664106656074029,-0.01600662968854626,-0.0003497944472322192,-0.03562487396614031,0.0,-0.28673700075357955,-0.28673700075357955,-0.08533392336910425,-0.22071506321694717,143316,0.648085355758667,0.4852738082408905,2.9116427898406982
primary_only_pressure,-0.26649422221021574,-0.4019803075561456,-0.026940340157370346,-0.010744844036390224,-0.00023923263726914525,-0.022513254898834874,0.0,-0.23678444835189372,-0.23678444835189372,-0.05330604417892835,-0.17647017778894192,143316,0.5795724391937256,0.4246048331260681,2.5476291179656982
secondary_only_pressure,-0.022901794457914404,-0.009219308920603297,0.00016708820633593024,0.00018203022999053846,-7.066888196472637e-05,0.0008622053938233329,0.0,-8.373105584863483e-05,-8.373105584863483e-05,-0.004056495925065462,-0.000948951966284306,143316,0.07386474311351776,0.03584270551800728,0.21505624055862427
