A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
1710505,0.8951802235091799,1323129,1220925,0.9227558310640912,102204,1910794,overall,parent_pool,1910794,overall,V0_clean_parent_train_minocc100
208936,0.8725808741845761,105434,105412,0.9997913386573591,22,239446,single,parent_pool,239446,overall,V0_clean_parent_train_minocc100
58753,0.984929256353517,20527,20525,0.9999025673503191,2,59652,symmetric,parent_pool,59652,overall,V0_clean_parent_train_minocc100
190735,0.9536654633453665,128443,128185,0.9979913268920845,258,200002,type,parent_pool,200002,overall,V0_clean_parent_train_minocc100
166601,0.833000834995825,91155,70969,0.778553014096868,20186,200001,valueRequiresStatement,parent_pool,200001,overall,V0_clean_parent_train_minocc100
192113,0.960560197199014,75313,75234,0.9989510443084195,79,200001,valueType,parent_pool,200001,overall,V0_clean_parent_train_minocc100
28431,0.9419228730453221,23229,23125,0.9955228378320203,104,30184,conflictWith,parent_pool,30184,test,V0_clean_parent_train_minocc100
66466,0.9708451403698402,68161,66166,0.9707310632179692,1995,68462,distinct,parent_pool,68462,test,V0_clean_parent_train_minocc100
20700,0.9806243782272964,18777,18774,0.999840230068701,3,21109,inverse,parent_pool,21109,test,V0_clean_parent_train_minocc100
16327,0.5442514750491683,24994,14710,0.588541249899976,10284,29999,itemRequiresStatement,parent_pool,29999,test,V0_clean_parent_train_minocc100
2015,0.9800583657587548,445,428,0.9617977528089887,17,2056,oneOf,parent_pool,2056,test,V0_clean_parent_train_minocc100
256417,0.8946235433675249,198725,183293,0.922344949050195,15432,286620,overall,parent_pool,286620,test,V0_clean_parent_train_minocc100
31275,0.870757579976056,15807,15797,0.9993673688872019,10,35917,single,parent_pool,35917,test,V0_clean_parent_train_minocc100
8769,0.9862782589135081,3021,3019,0.9993379675604105,2,8891,symmetric,parent_pool,8891,test,V0_clean_parent_train_minocc100
28589,0.9529349021699277,19270,19227,0.9977685521536066,43,30001,type,parent_pool,30001,test,V0_clean_parent_train_minocc100
25036,0.8345055164827839,13584,10623,0.7820229681978799,2961,30001,valueRequiresStatement,parent_pool,30001,test,V0_clean_parent_train_minocc100
28809,0.9603,11437,11424,0.9988633382880125,13,30000,valueType,parent_pool,30000,test,V0_clean_parent_train_minocc100
132465,0.940421846269621,107433,106965,0.9956437965988104,468,140857,conflictWith,parent_pool,140857,train,V0_clean_parent_train_minocc100
310262,0.9711286253544756,318086,308880,0.9710581415089001,9206,319486,distinct,parent_pool,319486,train,V0_clean_parent_train_minocc100
96083,0.9781929244082463,87319,87319,1.0,0,98225,inverse,parent_pool,98225,train,V0_clean_parent_train_minocc100
77228,0.551624631252634,116381,69177,0.5944011479537038,47204,140001,itemRequiresStatement,parent_pool,140001,train,V0_clean_parent_train_minocc100
9532,0.9933305543976657,2123,2123,1.0,0,9596,oneOf,parent_pool,9596,train,V0_clean_parent_train_minocc100
1197671,0.8954181323384833,925727,854411,0.9229621691924293,71316,1337555,overall,parent_pool,1337555,train,V0_clean_parent_train_minocc100
146370,0.873266830537193,73703,73699,0.9999457281250425,4,167612,single,parent_pool,167612,train,V0_clean_parent_train_minocc100
41131,0.9845605132133283,14428,14428,1.0,0,41776,symmetric,parent_pool,41776,train,V0_clean_parent_train_minocc100
