A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
24590,0.8196666666666667,11343,11321,0.9980604778277352,22,30000,valueType,parent_pool,30000,val,V1_verified_train_minocc100
93969,0.9339647958017354,76892,76542,0.995448161057067,350,100613,conflictWith,previously_discarded,100613,overall,V1_verified_train_minocc100
221591,0.971034307474551,227191,220594,0.9709627582078515,6597,228201,distinct,previously_discarded,228201,overall,V1_verified_train_minocc100
68450,0.9780248042521575,62229,62228,0.9999839303218756,1,69988,inverse,previously_discarded,69988,overall,V1_verified_train_minocc100
53844,0.5384346156538434,83141,49137,0.591008046571487,34004,100001,itemRequiresStatement,previously_discarded,100001,overall,V1_verified_train_minocc100
5731,0.8361540706156989,1452,1429,0.9841597796143251,23,6854,oneOf,previously_discarded,6854,overall,V1_verified_train_minocc100
813665,0.8516583297484062,661534,610257,0.9224877330568043,51277,955389,overall,previously_discarded,955389,overall,V1_verified_train_minocc100
102702,0.8578301579479298,52668,52656,0.9997721576668945,12,119723,single,previously_discarded,119723,overall,V1_verified_train_minocc100
29517,0.983572142619127,10393,10393,1.0,0,30010,symmetric,previously_discarded,30010,overall,V1_verified_train_minocc100
94389,0.94389943899439,64247,64088,0.9975251762728221,159,99999,type,previously_discarded,99999,overall,V1_verified_train_minocc100
61584,0.6158461584615846,45774,35686,0.7796128806746188,10088,99999,valueRequiresStatement,previously_discarded,99999,overall,V1_verified_train_minocc100
81888,0.8188718112818871,37547,37504,0.9988547686899086,43,100001,valueType,previously_discarded,100001,overall,V1_verified_train_minocc100
14136,0.9367172486912729,11644,11591,0.9954482995534181,53,15091,conflictWith,previously_discarded,15091,test,V1_verified_train_minocc100
33240,0.9710780017528484,34086,33097,0.9709851551956815,989,34230,distinct,previously_discarded,34230,test,V1_verified_train_minocc100
10318,0.9804256936526036,9388,9387,0.999893481039625,1,10524,inverse,previously_discarded,10524,test,V1_verified_train_minocc100
7981,0.5321021401426762,12490,7302,0.5846277021617294,5188,14999,itemRequiresStatement,previously_discarded,14999,test,V1_verified_train_minocc100
846,0.8229571984435797,227,213,0.9383259911894273,14,1028,oneOf,previously_discarded,1028,test,V1_verified_train_minocc100
122157,0.852432590855803,99453,91680,0.9218424783566107,7773,143304,overall,previously_discarded,143304,test,V1_verified_train_minocc100
15420,0.8586224177292723,7910,7904,0.9992414664981036,6,17959,single,previously_discarded,17959,test,V1_verified_train_minocc100
4411,0.9856983240223464,1526,1526,1.0,0,4475,symmetric,previously_discarded,4475,test,V1_verified_train_minocc100
14165,0.9443962930862058,9654,9622,0.9966853117878599,32,14999,type,previously_discarded,14999,test,V1_verified_train_minocc100
9308,0.6206160821442859,6793,5313,0.7821286618577948,1480,14998,valueRequiresStatement,previously_discarded,14998,test,V1_verified_train_minocc100
12332,0.8220785280981268,5735,5725,0.998256320836966,10,15001,valueType,previously_discarded,15001,test,V1_verified_train_minocc100
65754,0.9336078375692176,53771,53546,0.9958155883282811,225,70430,conflictWith,previously_discarded,70430,train,V1_verified_train_minocc100
155152,0.971260086513963,159043,154462,0.9711964688794854,4581,159743,distinct,previously_discarded,159743,train,V1_verified_train_minocc100
47856,0.9772912922725044,43521,43521,1.0,0,48968,inverse,previously_discarded,48968,train,V1_verified_train_minocc100
37863,0.5409,58148,34537,0.5939499208915182,23611,70000,itemRequiresStatement,previously_discarded,70000,train,V1_verified_train_minocc100
4034,0.8407669862442685,1011,1011,1.0,0,4798,oneOf,previously_discarded,4798,train,V1_verified_train_minocc100
569615,0.851727633766762,462878,427237,0.9230013092002645,35641,668776,overall,previously_discarded,668776,train,V1_verified_train_minocc100
71907,0.8580275639878289,36853,36852,0.9999728651670149,1,83805,single,previously_discarded,83805,train,V1_verified_train_minocc100
20678,0.9832152536731492,7330,7330,1.0,0,21031,symmetric,previously_discarded,21031,train,V1_verified_train_minocc100
66030,0.9432722389680147,44948,44850,0.9978197027676426,98,70001,type,previously_discarded,70001,train,V1_verified_train_minocc100
43028,0.6146857142857143,32046,24944,0.7783810772015228,7102,70000,valueRequiresStatement,previously_discarded,70000,train,V1_verified_train_minocc100
57313,0.8187571428571429,26207,26184,0.9991223718853741,23,70000,valueType,previously_discarded,70000,train,V1_verified_train_minocc100
14079,0.9328783461436523,11477,11405,0.9937265836019866,72,15092,conflictWith,previously_discarded,15092,val,V1_verified_train_minocc100
33199,0.9699368937711815,34062,33035,0.9698490987023662,1027,34228,distinct,previously_discarded,34228,val,V1_verified_train_minocc100
10276,0.9790396341463414,9320,9320,1.0,0,10496,inverse,previously_discarded,10496,val,V1_verified_train_minocc100
8000,0.5332622317024397,12503,7298,0.5836999120211149,5205,15002,itemRequiresStatement,previously_discarded,15002,val,V1_verified_train_minocc100
851,0.8278210116731517,214,205,0.9579439252336449,9,1028,oneOf,previously_discarded,1028,val,V1_verified_train_minocc100
121893,0.8505606765799776,99203,91340,0.920738284124472,7863,143309,overall,previously_discarded,143309,val,V1_verified_train_minocc100
15375,0.856116710284537,7905,7900,0.9993674889310563,5,17959,single,previously_discarded,17959,val,V1_verified_train_minocc100
4428,0.9831261101243339,1537,1537,1.0,0,4504,symmetric,previously_discarded,4504,val,V1_verified_train_minocc100
14194,0.9463297553170211,9645,9616,0.9969932607568689,29,14999,type,previously_discarded,14999,val,V1_verified_train_minocc100
9248,0.6164922338510765,6935,5429,0.7828406633020908,1506,15001,valueRequiresStatement,previously_discarded,15001,val,V1_verified_train_minocc100
12243,0.8162,5605,5595,0.9982158786797503,10,15000,valueType,previously_discarded,15000,val,V1_verified_train_minocc100
