bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
role_reference,F_and_A_V1,81424,all_populated_target_components,component_count,heldout_target_component_training_support,0.0828502652780507,add_predicate,val,6746
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
role_reference,F_and_A_V1,81424,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,add_subject,val,81424
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
role_reference,F_and_A_V1,108254,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_object,val,108254
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
role_reference,F_and_A_V1,108254,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_predicate,val,108254
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
role_reference,F_and_A_V1,108254,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_subject,val,108254
0,F_and_A_V1,132388,concrete_target_components_only,component_count,heldout_target_component_training_support,1.5107109405686316e-05,overall,val,2
1-9,F_and_A_V1,132388,concrete_target_components_only,component_count,heldout_target_component_training_support,0.008172946188476297,overall,val,1082
10-99,F_and_A_V1,132388,concrete_target_components_only,component_count,heldout_target_component_training_support,0.030969574281656947,overall,val,4100
>=100,F_and_A_V1,132388,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9608423724204611,overall,val,127204
role_reference,F_and_A_V1,569034,all_populated_target_components,component_count,heldout_target_component_training_support,0.7673460636798504,overall,val,436646
