bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
2-4,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.0,del_predicate,train,0
5-9,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.0,del_predicate,train,0
10-49,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.0,del_predicate,train,0
50-99,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.0,del_predicate,train,0
>=100,F_and_A_V1_train,479,,class_count,concrete_class_support_by_slot,0.0,del_predicate,train,0
nonzero_classes,F_and_A_V1_train,0,,min,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,p10,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,p25,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,median,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,p75,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,p90,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,p95,concrete_class_nonzero_support_statistics,,del_predicate,train,
nonzero_classes,F_and_A_V1_train,0,,max,concrete_class_nonzero_support_statistics,,del_predicate,train,
0,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,1.0,del_object,train,3039
1,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
2-4,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
5-9,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
10-49,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
50-99,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
>=100,F_and_A_V1_train,3039,,class_count,concrete_class_support_by_slot,0.0,del_object,train,0
nonzero_classes,F_and_A_V1_train,0,,min,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,p10,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,p25,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,median,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,p75,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,p90,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,p95,concrete_class_nonzero_support_statistics,,del_object,train,
nonzero_classes,F_and_A_V1_train,0,,max,concrete_class_nonzero_support_statistics,,del_object,train,
0,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.014212620807276862,all_legal_slots,train,50
1,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.3772029562251279,all_legal_slots,train,1327
2-4,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.2509948834565094,all_legal_slots,train,883
