variant,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,-0.3060204531951558,-0.75351255669875,-0.05254882659764093,-0.020257247784984587,-0.0015846044407753818,-0.04539012249004728,-0.14941109157386467,-0.441660386837478,-0.441660386837478,-0.020171847918280042,-0.35665940997515977,143316,0.7093555331230164,0.508392870426178,3.0503573417663574
primary_only_pressure,-0.2704554689058397,-0.5617693697680423,-0.04063639313846357,-0.014683383587956275,-0.0004930892355482909,-0.030575937714643134,-0.15131597309442069,-0.3663443021016495,-0.3663443021016495,-0.012667330456908946,-0.2892210220770884,143316,0.6414008140563965,0.4272981882095337,2.563789129257202
secondary_only_pressure,0.00035599914545547673,-0.00016594756057086713,0.00014190582745898794,0.00017002712662076216,3.952002567314192e-06,0.0006059241592524245,-0.0023793575036981096,0.005156437522677193,0.005156437522677193,0.0025814064977689316,0.003767897513187679,143316,0.045263614505529404,0.015487919561564922,0.09292751550674438
