schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.823018643057802,0.7958026857412781,11793,14819,0.5820565012190485,442374,760019,0.04630871092721014,31292,675726,0.06325010924284234,21133,334118,0.0049898519269093835,1630,326663,1.1544424567680382,17424,15093,0.4846617637315312,7315,15093,0.5097727423308819,7694,15093,0.35805384978743504,5306,14819,0.4291393361160803,6477,15093
2,single,17958,0.5246919865594135,0.5420369104579631,3172,5852,0.6500889687289817,458145,704742,0.010929687688703171,6335,579614,0.030921159138740488,7640,247080,0.014231854941254259,4477,314576,1.0390912128299366,18660,17958,0.8700300701637154,15624,17958,0.9090099120169284,16324,17958,0.12012987012987013,703,5852,0.43679697070943313,7844,17958
2,type,15001,0.6837922506183017,0.42786069651741293,172,402,0.7670824846453971,245168,319611,-0.027798421909836973,-8790,316205,0.018562168532704773,1197,64486,0.04072363726739944,10159,249462,0.999200053329778,14989,15001,0.026998200119992,405,15001,0.030531297913472435,458,15001,0.27860696517412936,112,402,0.00593293780414639,89,15001
2,distinct,34232,0.552965752295091,0.9942533198726411,25606,25754,0.9549551366516973,1278429,1338732,0.05855026418056757,56981,973198,0.34881459630722167,31927,91530,0.0006513735485698102,552,847440,1.066721196541248,36516,34232,0.9914699696190699,33940,34232,0.9949462491236271,34059,34232,0.0,0,25754,0.8993923813975228,30788,34232
2,valueType,14999,0.4907812707255604,0.05733676573835712,245,4273,0.8034495929675805,887672,1104826,0.0003331459387427905,368,1104621,0.0005768987237874573,123,213209,0.0,0,886066,0.994532968864591,14917,14999,0.0014667644509633977,22,14999,0.0015334355623708247,23,14999,0.056868710507839926,243,4273,0.000800053336889126,12,14999
2,itemRequiresStatement,15001,0.7512276599298481,1.0,737,737,0.6640234053830711,159102,239603,-0.006365375038188065,-1521,238949,0.006416249375664357,501,78083,0.01757806278152615,2759,156957,0.9910005999600027,14866,15001,0.0036664222385174323,55,15001,0.00433304446370242,65,15001,1.0,737,737,0.0011999200053329777,18,15001
2,inverse,15001,0.9011162698804703,0.33955223880597013,273,804,0.6120200661081022,162383,265323,0.0010762433442845815,285,264810,0.00024409056736411479,25,102421,8.820256737319185e-05,13,147388,1.001066595560296,15017,15001,0.003333111125924938,50,15001,0.003333111125924938,50,15001,0.32587064676616917,262,804,0.0013999066728884741,21,15001
2,valueRequiresStatement,15003,0.5770638873313764,1.0,565,565,0.6827292519838476,334594,490083,0.0014548674805490544,713,490079,0.0009766566216676412,152,155633,1.2285653734992306e-05,4,325583,0.9993334666400053,14993,15003,0.0,0,15003,0.0,0,15003,1.0,565,565,0.0,0,15003
2,oneOf,1028,0.8441301272984442,0.9990272373540856,1027,1028,0.6869983119164915,39883,58054,0.026674631292741204,1295,48548,0.014860613949452218,274,18438,0.00020631318341242006,6,29082,1.6809338521400778,1728,1028,0.9990272373540856,1027,1028,0.9990272373540856,1027,1028,0.0,0,1028,0.9961089494163424,1024,1028
