schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.0,0.0,0,14819,0.4835874168716205,326790,675762,0.0,0,675762,0.0,0,334153,0.0,0,326664,0.0,0,15093,0.0,0,15093,0.0,0,15093,0.0,0,14819,0.0,0,15093
2,single,17958,0.0,0.0,0,5852,0.5636199263647876,326682,579614,0.0,0,579614,0.0,0,247080,0.0,0,314576,0.0,0,17958,0.0,0,17958,0.0,0,17958,0.0,0,5852,0.0,0,17958
2,type,15001,0.0,0.0,0,402,0.7947913537104094,251317,316205,0.0,0,316205,0.0,0,64486,0.0,0,249462,0.0,0,15001,0.0,0,15001,0.0,0,15001,0.0,0,402,0.0,0,15001
2,distinct,34232,0.0,0.0,0,25754,0.8794859833250788,855914,973198,0.0,0,973198,0.0,0,91530,0.0,0,847440,0.0,0,34232,0.0,0,34232,0.0,0,34232,0.0,0,25754,0.0,0,34232
2,valueType,14999,0.0,0.0,0,4273,0.8031161819302729,887139,1104621,0.0,0,1104621,0.0,0,213209,0.0,0,886066,0.0,0,14999,0.0,0,14999,0.0,0,14999,0.0,0,4273,0.0,0,14999
2,itemRequiresStatement,15001,0.0,0.0,0,737,0.6705400434709915,160420,239240,0.0,0,239240,0.0,0,78083,0.0,0,157248,0.0,0,15001,0.0,0,15001,0.0,0,15001,0.0,0,737,0.0,0,15001
2,inverse,15001,0.27819325931538896,1.0,804,804,0.6132283524036102,162389,264810,0.0030361391186133455,804,264810,0.0,0,102421,0.0,0,147388,1.0,15001,15001,0.0,0,15001,0.0,0,15001,1.0,804,804,0.0,0,15001
2,valueRequiresStatement,15003,0.0,0.0,0,565,0.6812799569049072,333881,490079,0.0,0,490079,0.0,0,155633,0.0,0,325583,0.0,0,15003,0.0,0,15003,0.0,0,15003,0.0,0,565,0.0,0,15003
2,oneOf,1028,0.0,0.0,0,1028,0.5990360056027024,29082,48548,0.0,0,48548,0.0,0,18438,0.0,0,29082,0.0,0,1028,0.0,0,1028,0.0,0,1028,0.0,0,1028,0.0,0,1028
