schema_version,constraint_type,support,fidelity_micro_f1,pfr_value,pfr_numerator,pfr_denominator,local_satisfaction_value,local_satisfaction_numerator,local_satisfaction_denominator,delta_local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,sir_value,sir_numerator,sir_denominator,srr_value,srr_numerator,srr_denominator,disruption_value,disruption_numerator,disruption_denominator,base_deletion_rate_value,base_deletion_rate_numerator,base_deletion_rate_denominator,deletes_base_action_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,eppf_value,eppf_numerator,eppf_denominator,vacuous_improvement_value,vacuous_improvement_numerator,vacuous_improvement_denominator
2,conflictWith,15093,0.7088351088466884,0.6771037181996086,10034,14819,0.5808067737415563,444359,765072,0.041808175472398935,28252,675753,0.059273846006512164,19806,334144,0.004842896676707565,1582,326664,1.1082621082621082,16727,15093,0.5065924600808321,7646,15093,0.5226263830914993,7888,15093,0.22194480059383223,3289,14819,0.4444444444444444,6708,15093
2,single,17958,0.5625769491695771,0.5239234449760766,3066,5852,0.6494488288149032,453766,698694,0.013810915540342366,8005,579614,0.027614537801521774,6823,247080,0.005950867199023447,1872,314576,1.067769239336229,19175,17958,0.7728588929724913,13879,17958,0.8343356721238445,14983,17958,0.16917293233082706,990,5852,0.3855106359282771,6923,17958
2,type,15001,0.4435685192484562,0.4228855721393035,170,402,0.7728517947865053,246287,318673,-0.020887100855219876,-6604,316176,0.012002605216636169,774,64486,0.030260631111360566,7548,249433,1.0071328578094794,15108,15001,0.03173121791880541,476,15001,0.03386440903939737,508,15001,0.2960199004975124,119,402,0.004466368908739417,67,15001
2,distinct,34232,0.9182659711364171,0.7156946493748544,18432,25754,0.940674278539304,1171702,1245598,0.044583002807245406,43388,973196,0.274281656287556,25105,91530,0.0001758240720855095,149,847438,1.0523194671652256,36023,34232,0.7792708576770273,26676,34232,0.7803225052582379,26712,34232,0.0,0,25754,0.6956064501051648,23812,34232
2,valueType,14999,0.44783126157101294,0.034870114673531474,149,4273,0.8030535456515935,887330,1104945,-8.328716327543066e-05,-92,1104612,0.0005534475561538209,118,213209,0.0004051658076173429,359,886057,1.0006667111140743,15009,14999,0.003933595573038203,59,14999,0.004600306687112474,69,14999,0.03440205944301428,147,4273,0.00046669777985199013,7,14999
2,itemRequiresStatement,15001,0.5077523256977095,0.6255088195386703,461,737,0.6605778534013946,158396,239784,-0.009906786713447554,-2369,239129,0.0052252090723973205,408,78083,0.020606222595569473,3238,157137,0.9947336844210386,14922,15001,0.004733017798813412,71,15001,0.004799680021331911,72,15001,0.6241519674355496,460,737,0.0005999600026664889,9,15001
2,inverse,15001,0.7937622090520808,0.5435323383084577,437,804,0.6182585193976434,167221,270471,-9.440873696215342e-05,-25,264806,0.0024018511828628893,246,102421,0.00480377788633773,708,147384,0.9900006666222252,14851,15001,0.033731084594360375,506,15001,0.03393107126191587,509,15001,0.25870646766169153,208,804,0.026064929004733017,391,15001
2,valueRequiresStatement,15003,0.7456900814187296,0.9221238938053097,521,565,0.6830609221564939,335206,490741,0.0013569323941592733,665,490076,0.0014392834424575764,224,155633,0.0002457153387800233,80,325580,1.0005332266879958,15011,15003,0.0210624541758315,316,15003,0.021395720855828835,321,15003,0.8849557522123894,500,565,0.0017329867359861361,26,15003
2,oneOf,1028,0.6932294787297784,0.7587548638132295,780,1028,0.6663286004056795,36792,55216,0.021463294059487516,1042,48548,0.020013016596160105,369,18438,0.003679251770854824,107,29082,1.4892996108949417,1531,1028,0.7587548638132295,780,1028,0.8190661478599222,842,1028,0.0,0,1028,0.754863813229572,776,1028
