variant,delta_fidelity_f1,delta_pfr,delta_local_satisfaction,delta_delta_local_satisfaction,delta_srr,delta_sir,delta_disruption,delta_base_deletion_rate,delta_deletes_base_action_rate,delta_eppf,delta_vacuous_improvement,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,-0.3984723287042876,-0.5817568315079101,-0.042227696773425416,-0.016932296591403814,-0.000492023863431626,-0.037931892550685145,-0.12681068408272633,-0.33663373245136624,-0.33851070361997265,-0.08253125345724086,-0.25866616428033157,143316,0.5855452418327332,0.4007170498371124,2.4043023586273193
primary_only_pressure,-0.34217247337693746,-0.4121584246044916,-0.03158161171224094,-0.012448297048419757,0.0007411330386107064,-0.025758782407865242,-0.12235200535878754,-0.2764729688241369,-0.2761101342487929,-0.05915108603459085,-0.2074995115688409,143316,0.537218451499939,0.33676862716674805,2.0206117630004883
secondary_only_pressure,-0.002362424861318213,-0.0035955304790352693,0.00019822834607929884,0.00019526290288303903,-0.00019825496600776177,0.00034932316059405055,-0.0003558569873565176,0.004842446063244854,0.005254123754500517,-0.0014750894272965304,0.0035515922855787196,143316,0.029494265094399452,0.009837236255407333,0.059023417532444
